"","mu","sigma","nu","tau","x","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"1",229.785679503777,0.250154083092507,0.927124916490341,8.42845768080629,4,74.508082561016,96.0277485814775,109.202887568524,118.815055634265,126.440769873579,132.797925189381,138.274428185096,143.103848336798,147.437822895549,151.380427553366,155.006222378359,158.370474974993,161.51530752329,164.473574845369,167.271409914494,169.929951219766,172.466548653759,174.895626200888,177.229312410069,179.477909893044,181.650250824344,183.7539701634,185.795718476309,187.78132973534,189.715955092443,191.604170612902,193.450064851866,195.257310663671,197.029224559186,198.768816142577,200.47882958023,202.161778622623,203.819976374167,205.455560757958,207.070516431794,208.666693764225,210.245825364175,211.809540567161,213.359378209516,214.89679796507,216.423190473238,217.939886450921,219.44816495122,220.949260908268,222.44437208836,223.934665552189,225.421283720735,226.905350127612,228.387974933196,229.870260270216,231.353305486548,232.838212348553,234.326090267324,235.818061610648,237.315267165347,238.818871817989,240.330070526927,241.850094665348,243.380218823776,244.921768171661,246.476126491669,248.04474501767,249.629152229015,251.230964780353,252.851899779311,254.493788665414,256.158592994784,257.848422499213,259.565555868796,261.312464809358,263.091842055867,264.906634189868,266.76008032468,268.655758003391,270.597638024848,272.590150404601,274.638264338042,276.747585929522,278.924478683573,281.176213470913,283.511157107698,285.939012169106,288.471125745485,291.120892423524,293.904288292968,296.840590712315,299.953367234779,303.271864312536,306.833006853848,310.68436227173,314.888687041194,319.53119110791,324.731735153299,330.66661411992,337.610663212833,346.027702058559,356.796050445103,371.91716379723,397.945011526989
"2",237.718747128457,0.250640742210551,0.879822607715139,8.53091877301813,4.31313131313131,79.4697706965238,101.171365428877,114.448648648775,124.147598736228,131.853688544699,138.287142591717,143.836800328372,148.73675014122,153.138985935933,157.147858590425,160.83815355346,164.26532901222,167.471671370286,170.490178747569,173.347110335646,176.06371665765,178.657447721481,181.142817526061,183.532036017827,185.83547981543,188.062048733279,190.219439865037,192.314361135557,194.352699723481,196.339656369855,198.279853574135,200.177423572653,202.036080499461,203.859180053012,205.64976920684,207.410627922628,209.14430439116,210.853145000164,212.539319979332,214.204845481792,215.851602713245,217.481354604514,219.0957604324,220.696388721963,222.284728706222,223.8622005736,225.430164696835,226.989930007598,228.54276165729,230.089888085376,231.632507601237,233.171794573256,234.708905309208,236.244983704549,237.781166729712,239.318589823648,240.858392258637,242.401722540579,243.949743909661,245.503640008423,247.064620787893,248.633928727845,250.212845454402,251.8026988476,253.404870743334,255.020805348989,256.652018510432,258.300107990883,259.966764950331,261.65378684915,263.363092042856,265.096736389037,266.856932255049,268.646070400207,270.466745313879,272.321784728147,274.214284199772,276.147647883999,278.125636919725,280.152427236391,282.232679112314,284.371621511475,286.575155172712,288.849979727001,291.203751931909,293.645284675205,296.184800079495,298.834255415759,301.607768538862,304.522181733224,307.597821815388,310.8595446521,314.338202184954,318.072755150974,322.113405504982,326.5264022864,331.40172216917,336.865968831118,343.105417174988,350.410571142446,359.271912074078,370.618754345845,386.570264925069,414.073357255342
"3",245.913464798063,0.2511369296807,0.832545254284031,8.63462018743075,4.62626262626263,84.742758503959,106.571458894107,119.933108808159,129.71056635905,137.492515239369,143.999609095291,149.620817453526,154.590351769685,159.060345233425,163.13529467432,166.890129253076,170.380443578033,173.64865092912,176.727866133778,179.644455160652,182.419766033292,185.071337805646,187.613765927675,190.059335031749,192.418490426929,194.700195320323,196.912205525278,199.061283568694,201.153367605714,203.193706163966,205.186966725512,207.137324047939,209.04853263028,210.92398665238,212.766769930383,214.579697850722,216.365352811566,218.126114373744,219.864185074121,221.581612662991,223.280309378803,224.962068757758,226.628580384863,228.281442921022,229.922175683549,231.552229011719,233.172993612267,234.785809050264,236.391971526975,237.992741067191,239.589348223184,241.183000390179,242.774887818668,244.366189401504,245.958078308301,247.551727535971,249.148315442148,250.749031327662,252.355081135139,253.96769333323,255.588125059979,257.217668604641,258.857658314933,260.509478026722,262.17456912569,263.854439366279,265.550672592697,267.2649395309,268.999009850254,270.754765730523,272.534217215593,274.339519692444,276.172993905271,278.03714900456,279.934709244649,281.868645088258,283.842209662497,285.858981751409,287.922916823881,290.038408008645,292.210359476791,294.444275429009,296.746368885441,299.123695851755,301.58432235171,304.137534525735,306.794105885396,309.566641497944,312.470027340478,315.522025940118,318.744079470712,322.162413545388,325.809587779567,329.726729261055,333.966844708094,338.599903269233,343.720961716688,349.463814418446,356.025386164381,363.712914591812,373.045381208983,385.006672887165,401.842112748395,430.92068428595
"4",254.36537347758,0.251651297474798,0.78531781154111,8.73957155784688,4.93939393939394,90.2981327058222,112.208832948695,125.641290478897,135.491289563305,143.34603488588,149.925109680092,155.616995024299,160.655725970216,165.193412928721,169.334603479784,173.154310935083,176.708227159593,180.038865502749,183.179438539354,186.156405237026,188.99120088048,191.701445818057,194.301810992576,196.804651086492,199.220476458199,201.558310828536,203.825966445302,206.030258622018,208.177175052163,210.272010918991,212.319477809813,214.323792338247,216.288748882905,218.217779774049,220.11400547389,221.980276715633,223.819210132871,225.633218583684,227.424537124566,229.195245397713,230.947287046726,232.682486659904,234.402564649159,236.109150400516,237.803793974848,239.487976591666,241.163120092041,242.830595547212,244.491731155601,246.147819551882,247.800124636377,249.449888020915,251.098335177748,252.746681370823,254.396137443447,256.0479155328,257.703234779882,259.363327103078,261.029443104729,262.70285818282,264.384878924313,266.076849862842,267.780160691787,269.496254034339,271.226633885546,272.972874858011,274.736632383554,276.519654048685,278.323792273249,280.151018580634,282.003439756335,283.883316251969,285.793083267316,287.735375037906,289.713052975875,291.729238464978,293.787351307169,295.891155072447,298.044810935206,300.252942016762,302.520710833732,304.853913230823,307.259093234548,309.743684719053,312.316187802116,314.98639075471,317.765652322645,320.667265372261,323.70693172898,326.903391704006,330.279273029557,333.862257869793,337.6867225144,341.796099733721,346.246382866284,351.111504480386,356.491936849929,362.529144712997,369.431421392044,377.523882178652,387.355986724877,399.970051288105,417.746681064531,448.508523757566
"5",263.068125326548,0.252192282993781,0.738168010361367,8.8457847583909,5.25252525252525,96.1035862308449,118.062432735866,131.556533775322,141.475437023931,149.40135982559,156.051740482741,161.814143162635,166.922224852977,171.527966668762,175.735905667885,179.621101674979,183.239319459817,186.633156013811,189.835910194834,192.874125744676,195.769319174904,198.539187621395,201.198474107393,203.759600756441,206.233140970224,208.628177439011,210.952577661089,213.213208838906,215.416107537912,217.566615120696,219.669486962249,221.728981349365,223.748932473534,225.732810850547,227.683773714408,229.604707352818,231.498262917839,233.366886918113,235.2128473496,237.038256230095,238.84508915418,240.635202369263,242.410347782116,244.172186233178,245.922299318478,247.662199993187,249.39334215402,251.117129368139,252.834922892443,254.548049108001,256.257806479108,257.96547213434,259.672308157504,261.379567669249,263.088500774885,264.800360450625,266.51640843871,268.237921221774,269.966196148256,271.702557783734,273.448364567866,275.205015863332,276.973959491998,278.756699864844,280.554806826418,282.369925352233,284.203786259447,286.05821811813,287.935160583829,289.836679413358,291.764983476949,293.722444143658,295.711617496675,297.735269935573,299.796407849609,301.898312208045,304.044579121303,306.239167695523,308.486456853704,310.791313258089,313.159173081811,315.596141201628,318.109112502632,320.705921524714,323.395528825033,326.188255462749,329.096081367362,332.133029716974,335.31566893479,338.663778339747,342.20124596402,345.957303005414,349.968258643491,354.280000003138,358.951701256531,364.061518475258,369.715698324011,376.063889756482,383.326525430676,391.847827045039,402.209860570403,415.517529927864,434.296587596824,466.857635133338
"6",272.010743812328,0.252766313269498,0.691143674864784,8.95328868613145,5.56565656565657,102.124631519379,124.109218271952,137.659946650876,147.646241808682,155.643008105374,162.364875328764,168.198242587848,173.376278802136,178.050780854671,182.326245292066,186.277760907363,189.961154529328,193.419099783009,196.684977117739,199.785411821273,202.74199936585,205.572512064222,208.29176387093,210.912243536491,213.444586941987,215.897935375297,218.280211364721,220.598333903481,222.85838843217,225.065762581844,227.22525567893,229.34116791337,231.417373579518,233.457381724121,235.464386750594,237.44131094867,239.39084048491,241.315456062279,243.217459207524,245.098994953233,246.962071532815,248.808577590474,250.640297316948,252.458923849573,254.266071217731,256.063285068887,257.852052373574,259.63381027813,261.409954250212,263.181845643041,264.950818789061,266.718187721683,268.485252614405,270.253306019533,272.02363898372,273.797547114308,275.576336668972,277.36133074127,279.153875616479,280.955347375512,282.767158829959,284.5907668785,286.427680384415,288.279468685927,290.147770866274,292.034305929105,293.940884048019,295.869419087652,297.821942629028,299.800619775511,301.807767069876,303.845872920397,305.917621018237,308.025917334557,310.173921420133,312.365082901474,314.603184287197,316.89239148273,319.23731378224,321.643075594877,324.115402811389,326.660727588782,329.286316515,332.00042874426,334.812512963676,337.733455261658,340.775894579785,343.954629170291,347.287147524087,350.794332517936,354.501411344093,358.439261888546,362.646249037199,367.170871525354,372.075689982086,377.443359631473,383.386282329274,390.062837146716,397.706416119415,406.681656696155,417.605503178578,431.649896587444,451.496323783523,485.980301300395
"7",281.178707364368,0.25337896207332,0.644301473389444,9.06212066126198,5.87878787878788,108.326740144443,130.325246396068,143.931232172171,153.985230106463,162.053587165518,168.847828272391,174.75309843734,180.002048710409,184.746281669098,189.090250439322,193.109072563436,196.858637689426,200.381697137143,203.711714041635,206.875396265573,209.894419177877,212.786631112447,215.566917719628,218.247835076501,220.840082192765,223.352859565775,225.794145339566,228.170910867182,230.489291024701,232.754720269982,234.972042442904,237.145600207134,239.279308543282,241.376715629023,243.441053657154,245.475281562557,247.482121195538,249.464088151641,251.423518218479,253.362590208195,255.283345795342,257.187706863771,259.077490774695,260.954423895781,262.820153673617,264.676259485957,266.524262473296,268.365634519772,270.201806529605,272.034176126251,273.864114886243,275.692975207733,277.522096904458,279.352813608945,281.186459063863,283.024373377431,284.867909317485,286.718438719215,288.577359083646,290.446100447762,292.326132612867,294.218972825513,296.126194015478,298.049433708074,299.990403744132,301.950900960921,303.93281901179,305.938161532675,307.969056900901,310.02777487797,312.116745485257,314.238580532866,316.396098311156,318.592352066699,320.830663026588,323.114658916125,325.448319147429,327.836028157298,330.282638765087,332.793547937986,335.374788037936,338.033137547059,340.776256522232,343.612853753873,346.5528950078,349.607865128589,352.791101667417,356.118224838408,359.60769924918,363.281579049151,367.166513383289,371.29512943706,375.707976969772,380.456331874411,385.606357927218,391.24550031777,397.492718337059,404.515698602712,412.561661252156,422.017048968854,433.536100356772,448.362536554436,469.344900435376,505.883337316798
"8",290.554743364126,0.254035884646754,0.597699462470682,9.17231889086368,6.19191919191919,114.676904253295,136.686443961647,150.349278413243,160.472739954644,168.614279595018,175.48232353274,181.46080340399,186.781887566571,191.597010388876,196.010600417115,200.097817596734,203.914624424029,207.503857404445,210.899068053419,214.127051215799,217.209565629598,220.16453843519,223.006929253615,225.749363380787,228.402604558442,230.97591387772,233.477326316128,235.913866677788,238.291720269995,240.616369301858,242.892702999056,245.125107334637,247.317538786965,249.473585462352,251.596518135593,253.689333181678,255.75478893843,257.795436712304,259.813647389891,261.81163442559,263.791473826965,265.755121642954,267.704429368571,269.64115760738,271.566988275375,273.483535583977,275.392356002936,277.294957374375,279.192807325459,281.087341108125,282.979968979212,284.872083222406,286.765064904245,288.660290449657,290.559138117736,292.462994455678,294.373260807715,296.291359956594,298.218742977526,300.156896388788,302.107349689316,304.071683381964,306.051537591936,308.048621403533,310.064723055444,312.101721155886,314.161597104983,316.246448943816,318.358506889163,320.500150861827,322.673930377048,324.882587240983,327.129081591654,329.416621941545,331.748700029462,334.129131480902,336.562103522252,339.052231312483,341.604624871382,344.224969130289,346.919620358448,349.695723195105,352.561353845175,355.525696822792,358.599265173461,361.794177707333,365.124511952138,368.606759102756,372.260418525064,376.10878654545,380.180021027989,384.508606091262,389.137411987685,394.120665764306,399.52836234647,405.453043250522,412.020649508297,419.408785263817,427.879417938853,437.842268353717,449.99143594668,465.647473734955,487.83807996197,526.570685019682
"9",300.115702153085,0.254743063261638,0.551414898913495,9.28391724153441,6.5050505050505,121.141977065262,143.166524924459,156.889971095968,167.085679937548,175.302564055227,182.246185902103,188.299401616136,193.693980302922,198.581240907483,203.065622194016,207.222350288209,211.107477293023,214.763937034876,218.225378410752,221.518690070578,224.665719397883,227.684476497748,230.589998298902,233.394982041916,236.110258466556,238.745151174746,241.307753627888,243.805145527187,246.243563900281,248.628539876549,250.965009145251,253.257401998278,255.509717371334,257.725584224124,259.908312815801,262.0609378519,264.1862550452,266.286852305272,268.365136521543,270.423356712399,272.463624163745,274.487930063931,276.498161050288,278.496113010026,280.483503420599,282.461982468541,284.433143148944,286.398530518094,288.359650248078,290.31797661317,292.274960022726,294.232034203503,296.190623125265,298.152147756859,300.118032735398,302.089713028568,304.06864066928,306.056291642873,308.05417300982,310.06383035157,312.086855633853,314.124895590687,316.179660743934,318.252935187744,320.346587285369,322.462581448255,324.602991194865,326.770013720724,328.965986253031,331.193404514956,333.454943688858,335.753482347569,338.092129922776,340.474258405284,342.903539131102,345.383985710164,347.920004414945,350.516453683247,353.178714829203,355.912776635659,358.725337271159,361.623928009542,364.6170646366,367.714434363338,370.92712876361,374.267937071129,377.751719657353,381.395889535729,385.221041699629,389.251788315962,393.5178861956,398.055788429022,402.910827081295,408.140361867439,413.818457003333,420.043070737718,426.947570235956,434.720117035131,443.638391763645,454.136944288508,466.952443681718,483.487621779583,506.962185560542,548.036413551548
"10",309.832739956833,0.255506757123406,0.50553932597665,9.39694638519187,6.81818181818182,127.689135438493,149.737295396496,163.52646226016,173.797779300455,182.092453214623,189.113569834525,195.243110968684,200.712560811792,205.67319249415,210.229499707161,214.45680473374,218.411270105919,222.135941872335,225.664577253594,229.024166924615,232.236653218038,235.32013413084,238.289727820995,241.158206649833,243.936470971938,246.633909092999,249.258674827711,251.817904395402,254.317887973953,256.764206895914,259.161844484466,261.515276435352,263.828545163102,266.105321456456,268.348956003284,270.56252276486,272.748855745251,274.91058037349,277.050140465972,279.169821543962,281.271771131728,283.358016544097,285.43048058045,287.490995469524,289.541315351613,291.583127538679,293.618062755897,295.64770453858,297.673597934686,299.697257644131,301.72017571115,303.743828874187,305.769685668855,307.799213372989,309.833884878439,311.875185571852,313.924620306146,315.983720545711,318.054051771465,320.137221237073,322.234886174814,324.348762559213,326.480634548875,328.632364742443,330.805905403842,333.003310835744,335.226751109437,337.478527395284,339.761089182309,342.077053730224,344.42922816512,346.820634714577,349.254539683689,351.734486906603,354.264336576609,356.848310572597,359.491045675395,362.197656424342,364.97380983011,367.825814773097,370.760729732324,373.78649358598,376.912085714841,380.14772369033,383.505109688697,386.997740819118,390.641304370433,394.454187490063,398.4581434959,402.679176345336,407.148734920324,411.905357044938,416.996982781331,422.484292506809,428.445666698121,434.984813096671,442.242987250002,450.419574809887,459.808978006086,470.872198392222,484.391315968454,501.856867136029,526.694144945469,570.264690890386
